indices,x,y,EC,uEC
128,459479.87,741312.36,0.0270917843810448,0.622760704218106
51,458394.55,743846.28,0.19083489807551,4.46515381831272
7,466088.62,746714.37,0.724012682026123,8.13907963014404
164,458935.14,743232.91,0.323268954689303,8.46764829938269
16,462102.38,748519.21,0.683654150700896,10.6690779593622
30,459209.52,741445.65,0.0355543562013197,5.82020178261318
55,456141.99,742400.81,0.00856693808074681,0.0707528018518516
103,462596.29,744310.23,0.148096908594672,7.63486560185181
104,460674.41,744028.57,0.226327858295849,3.9558201211934
99,457563.05,747628.43,0.0555563333923999,0.323665378909465
523,459480.55,741052.76,0.00724198050308206,0.1288359
166,457061.29,747906.71,0.0516181867853681,0.334558158333334
6,456881.88,743493.18,0.221848612047166,0.780597658230451
11,459479.51,741446.36,0.0622179205283323,5.72811597674895
8,455172.84,743649.01,0.00883232139382738,0.0585054811728397
521,466083.55,747859.82,0.720093690516965,8.00346989094652
115,460229.53,738175.17,0.455653657752056,7.63245497695473
344,461706.75,744655.5,0.242443218841968,3.9204309095679
135,456214.44,746500.28,0.0843524034778284,0.0148572202674897
5,459140.36,741753.16,0.36246029791055,8.16845725627575
60,459700.22,742028.24,0.399179665015194,7.1191661324074
332,462581.41,740238.25,0.0117007422247969,6.18585120699588
484,465059.66,748518.86,0.514500236252724,17.1041310739712
615,461372.12,739907.39,0.0459087224860824,11.2690045212963
120,462599.7,743684.22,0.147628479279273,7.28684380596708
10,461174.49,739305.28,0.342790298342233,11.9354482456791
27,459983.57,741043.68,0.0121695376095633,0.208045009567901
285,466208.54,744974.16,0.725822282871266,8.41781615041149
85,456497.26,742397.47,0.0150632623030764,0.0598303106995883
141,462110.07,738737.74,0.0593375118825544,11.554192508642
559,473258.32,743932.94,0.0389842059621392,2.9141195521605
498,459479.16,741582.36,0.0719925515848109,5.25765276080244
616,461392.57,738780.14,0.0573091488735695,11.4566317733539
320,455897.59,748179.22,0.0206036561691447,0.0336559356995884
179,455177.55,745373.48,0.0130758017247452,0.202388303086418
509,475983.66,748885.72,0.824693046938942,13.9772831848765
576,457037.83,744258.83,0.144332543469736,1.63810921306585
342,459989.86,741313.7,0.0193498153492989,0.84791852469136
78,457343.25,742400.02,0.00580323425779978,0.140103637860081
23,466568.08,748431.58,0.695124719918717,7.71216916687245
617,457633,745660.75,0.138713307944488,1.02643753045267
116,461267.33,744998.25,0.237848428818929,3.59774499629627
66,459998.51,743284.43,0.458426088328295,8.96002037582302
138,462109.28,738447.74,0.0863510865624149,10.275996803498
460,458222.44,741605.55,0.0280551378609332,5.22040683755146
18,459688.43,745935.7,0.168752045706946,1.1311562105967
64,458797.18,744121.05,0.01553548443626,7.25253442860087
118,458835.81,744661.54,0.00990971907464402,7.43989299176958
87,473292.73,744146.26,0.0271414761409999,3.13839719855968
26,473455.77,746034.32,0.0277461512785171,1.08890519619341
84,458253.13,742931.07,0.331824392444532,7.41827337150208
468,465085.89,745010.8,0.72430064318671,8.05601281039093
68,457574.23,743980.55,0.146134469131409,1.63711761213992
458,455148.03,747896.71,0.00732413524599901,0
137,472125.64,743685.14,0.0131173611000835,0.763532440020579
